Make,Model,Model_Submodel,Submodel,Year,Vehicle Type
Ducati,Multistrada 1100,Multistrada 1100,--,2007,Motorcycle
Yamaha,YZF R6,YZF R6 Team Yamaha,Team Yamaha,2009,Motorcycle
Yamaha,WR250R,WR250R Team Yamaha,Team Yamaha,2013,Motorcycle
Roadsmith,Ultimate,Ultimate GL1500 Kit,GL1500 Kit,2002,Motorcycle
Husaberg,FS650E,FS650E,--,2003,Motorcycle
Rokon,Ranger,Ranger,--,1983,Motorcycle
LEM,LX1,LX1,--,2000,Motorcycle
Ultra Cycle,Apache,Apache Lowko 300,Lowko 300,2019,Motorcycle
Harley-Davidson,Dyna,Dyna Convertible FXDS-Conv,Convertible FXDS-Conv,2000,Motorcycle
Rokon,Ranger,Ranger,--,1987,Motorcycle
BMW,F850GS,F850GS Adventure,Adventure,2019,Motorcycle
Old School Motorcycle Co,Time Bandit Classic,Time Bandit Classic CS-48 P,CS-48 P,2019,Motorcycle
Husqvarna,TXCi250,TXCi250,--,2012,Motorcycle
Harley-Davidson,Tour Glide,Tour Glide Classic EFI FLTCI,Classic EFI FLTCI,1986,Motorcycle
BSA,M24,M24 Gold Star,Gold Star,1939,Motorcycle
Triumph,Tiger Explorer,Tiger Explorer XC ABS,XC ABS,2016,Motorcycle
Victory,Jackpot,Jackpot,--,2013,Motorcycle
Benelli,Sei,Sei 750,750,1984,Motorcycle
Ducati,500 SuperSport,500 SuperSport,--,1978,Motorcycle
Honda,XR100R,XR100R,--,2001,Motorcycle
Montesa,Cota,Cota 242,242,1986,Motorcycle
Triumph,Bonneville,Bonneville T100 1960 Anniversary Edition,T100 1960 Anniversary Edition,2011,Motorcycle
AJS,Model 18,Model 18 CS,CS,1962,Motorcycle
Husqvarna,TC310,TC310,--,2012,Motorcycle
LEM,DX2,DX2 Junior,Junior,2011,Motorcycle
Kawasaki,Versys 650,Versys 650 KLE650D ABS,KLE650D ABS,2015,Motorcycle
AJS,Model 18,Model 18 S,S,1957,Motorcycle
Harley-Davidson,UL,UL V Twin 74,V Twin 74,1948,Motorcycle
Red Horse Motorworks,Rustler,Rustler 300R,300R,2005,Motorcycle
BSA,C10,C10 Plunger,Plunger,1952,Motorcycle
KTM,250,250 MX,MX,1990,Motorcycle
Honda,XR185,XR185,--,1979,Motorcycle
Honda,CTX700D,CTX700D DCT ABS,DCT ABS,2014,Motorcycle
Kawasaki,KDX220R,KDX220R,--,2000,Motorcycle
Harley-Davidson,Tour Glide,Tour Glide Classic EFI FLTCI,Classic EFI FLTCI,1981,Motorcycle
Husaberg,FE350,FE350,--,1994,Motorcycle
Triumph,Rocket III,Rocket III,--,2009,Motorcycle
TM,C1,C1,--,2004,Motorcycle
Triumph,Thruxton TFC,Thruxton TFC,--,2019,Motorcycle
Honda,CRF450R,CRF450R,--,2020,Motorcycle
Honda,CRF450R,CRF450R,--,2003,Motorcycle
Moto Guzzi,V85,V85 TT Adventure,TT Adventure,2020,Motorcycle
Harley-Davidson,J,J V Twin 61,V Twin 61,1926,Motorcycle
Indian,Chief,Chief,--,2002,Motorcycle
Husqvarna,TC125,TC125,--,2015,Motorcycle
ATK,620,620 Intimidator,Intimidator,2009,Motorcycle
Yamaha,XT225,XT225,--,2001,Motorcycle
GAS GAS,EC400,EC400 FSE,FSE,2003,Motorcycle
Ducati,999 S,999 S,--,2005,Motorcycle
Kawasaki,KLX140L,KLX140L,--,2013,Motorcycle
BSA,CB32 Gold star,CB32 Gold star Road 350,Road 350,1954,Motorcycle
Kawasaki,Ninja ZX11,Ninja ZX11 ZX1100D,ZX1100D,1999,Motorcycle
Suzuki,GSXR1000R,GSXR1000R ABS,ABS,2018,Motorcycle
Honda,XL250,XL250 Motosport 250,Motosport 250,1985,Motorcycle
Aprilia,Tuono V4 1100,Tuono V4 1100 RR ABS,RR ABS,2015,Motorcycle
Yamaha,XT250,XT250,--,2017,Motorcycle
Harley-Davidson,E,E V Twin 61,V Twin 61,1940,Motorcycle
KTM,250,250 MX,MX,1979,Motorcycle
Indian,Scout,Scout Military,Military,1942,Motorcycle
Yamaha,FZ09,FZ09,--,2016,Motorcycle
Harley-Davidson,C Sprint,C Sprint 250,250,1962,Motorcycle
Sherco,2.9,2.9 Trial 290 2T,Trial 290 2T,2007,Motorcycle
Honda,MTX50,MTX50,--,1984,Motorcycle
Kawasaki,Ninja 600R,Ninja 600R ZX600C,ZX600C,1993,Motorcycle
American Motorcycle Corp.,Z40,Z40,--,2004,Motorcycle
Old School Motorcycle Co,Time Traveller Standard,Time Traveller Standard P Series,P Series,2016,Motorcycle
Roadsmith,Ultra Ride,Ultra Ride Kit,Kit,2001,Motorcycle
Maico,GS440,GS440,--,1993,Motorcycle
Honda,CB450,CB450 Super Sport,Super Sport,1966,Motorcycle
AJS,Model 16,Model 16 MC,MC,1952,Motorcycle
KTM,360,360 EGS,EGS,1996,Motorcycle
BMW,R100T,R100T 980,980,1980,Motorcycle
ATK,125,125 Enduro 4 Stroke,Enduro 4 Stroke,2003,Motorcycle
GAS GAS,SM400,SM400 FSE,FSE,2002,Motorcycle
KTM,350,350 MX,MX,1991,Motorcycle
Bultaco,Lobito,Lobito 100,100,1970,Motorcycle
BMW,K1200S,K1200S ABS,ABS,2005,Motorcycle
Motor Trike,Road King,Road King Gladiator IRS,Gladiator IRS,2019,Motorcycle
Harley-Davidson,Road King,Road King FLHR,FLHR,1999,Motorcycle
Benelli,Mini Enduro,Mini Enduro 90,90,1972,Motorcycle
Harley-Davidson,Fatboy,Fatboy FLSTF,FLSTF,2012,Motorcycle
Demon Choppers,Bergo,Bergo,--,2010,Motorcycle
Ducati,Street Scrambler 350,Street Scrambler 350,--,1971,Motorcycle
Matchless,G80C,G80C Competition,Competition,1954,Motorcycle
AJS,Model 16,Model 16 MC,MC,1949,Motorcycle
Harley-Davidson,SX250,SX250 2 Stroke 250cc,2 Stroke 250cc,1975,Motorcycle
BSA,C15,C15 Pastoral,Pastoral,1965,Motorcycle
Kawasaki,KDX50,KDX50,--,2005,Motorcycle
ATK,650,650 Cruiser,Cruiser,2011,Motorcycle
Can-Am,MC L/C,MC L/C 125,125,1985,Motorcycle
Honda,CBR600F2,CBR600F2,--,1992,Motorcycle
Suzuki,GS1100ES,GS1100ES,--,1983,Motorcycle
BSA,BB32 Gold star,BB32 Gold star Scrambler 350,Scrambler 350,1953,Motorcycle
